#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00          441.8062           77.6994           -6.5911            0.0000           71.1083
          50.00          493.1254           86.7248           -2.2648            0.0000           84.4600
         100.00          448.9267           78.9517           -6.1759            0.0000           72.7757
         150.00          414.0805           72.8233           -0.3242            0.0000           72.4991
         200.00          450.3590           79.2035           -2.7036            0.0000           76.4999
         250.00          447.1150           78.6330           -1.0487            0.0000           77.5843
         300.00          448.5717           78.8892           -3.6294            0.0000           75.2598
         350.00          396.4938           69.7304           -2.1925            0.0000           67.5379
         400.00          458.0755           80.5606           -2.3363            0.0000           78.2243
         450.00          520.7479           91.5827           -1.3844            0.0000           90.1982
         500.00          495.6207           87.1636            1.1419            0.0000           88.3055
         550.00          490.1684           86.2047           -2.6666            0.0000           83.5381
         600.00          513.8196           90.3642           -1.9401            0.0000           88.4241
         650.00          535.4086           94.1610           -2.3809            0.0000           91.7801
         700.00          429.8864           75.6031           -1.0686            0.0000           74.5345
         750.00          419.0938           73.7050           -2.6033            0.0000           71.1017
         800.00          515.5422           90.6671           -2.8541            0.0000           87.8131
         850.00          472.8241           83.1544           -2.1522            0.0000           81.0023
         900.00          434.0185           76.3298           -3.5246            0.0000           72.8051
         950.00          441.2977           77.6099           -3.3339            0.0000           74.2761
        1000.00          475.1780           83.5684           -2.4245            0.0000           81.1439
        1050.00          426.7771           75.0563           -3.4743            0.0000           71.5819
        1100.00          493.4252           86.7775           -3.1252            0.0000           83.6523
        1150.00          457.9766           80.5432           -1.7050            0.0000           78.8382
        1200.00          455.0199           80.0232           -2.9311            0.0000           77.0922
        1250.00          460.7508           81.0311           -1.1168            0.0000           79.9143
        1300.00          423.4024           74.4627           -1.5589            0.0000           72.9039
        1350.00          380.2436           66.8725           -3.1364            0.0000           63.7361
        1400.00          411.0014           72.2818           -2.6130            0.0000           69.6688
        1450.00          526.2507           92.5504           -1.9513            0.0000           90.5991
        1500.00          488.2405           85.8657           -1.2956            0.0000           84.5700
        1550.00          501.3466           88.1706           -2.0003            0.0000           86.1703
        1600.00          540.0419           94.9758           -0.1048            0.0000           94.8711
        1650.00          481.7874           84.7308           -2.4477            0.0000           82.2831
        1700.00          476.8213           83.8574           -2.8053            0.0000           81.0522
        1750.00          414.8878           72.9653           -1.4470            0.0000           71.5183
        1800.00          452.3909           79.5609           -2.7171            0.0000           76.8438
        1850.00          416.5351           73.2550           -1.3740            0.0000           71.8811
        1900.00          443.0807           77.9235           -2.0063            0.0000           75.9172
        1950.00          544.9686           95.8423           -1.4184            0.0000           94.4239
        2000.00          441.7335           77.6866           -2.6678            0.0000           75.0188
        2050.00          479.9673           84.4107           -1.7053            0.0000           82.7054
        2100.00          384.0296           67.5384           -2.9693            0.0000           64.5691
        2150.00          398.2456           70.0385           -3.3616            0.0000           66.6768
        2200.00          420.2238           73.9037           -2.2639            0.0000           71.6399
        2250.00          505.5319           88.9067           -1.2883            0.0000           87.6184
        2300.00          482.0188           84.7715           -0.2525            0.0000           84.5190
        2350.00          424.9429           74.7337           -3.1942            0.0000           71.5395
        2400.00          465.8137           81.9215           -3.6581            0.0000           78.2634
        2450.00          413.9699           72.8039           -2.5131            0.0000           70.2908
        2500.00          429.1678           75.4767           -1.9626            0.0000           73.5141
        2550.00          504.8719           88.7906           -3.4993            0.0000           85.2913
        2600.00          433.5476           76.2470           -2.2500            0.0000           73.9970
        2650.00          434.1147           76.3467           -2.4050            0.0000           73.9417
        2700.00          426.4379           74.9966           -3.9416            0.0000           71.0550
        2750.00          391.5208           68.8558           -2.6085            0.0000           66.2473
