@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0000          0.4517 
          50.00          0.2093          0.5807 
         100.00          0.2120          0.5436 
         150.00          0.3377          0.6016 
         200.00          0.3493          0.6352 
         250.00          0.3909          0.6256 
         300.00          0.4046          0.5814 
         350.00          0.4057          0.5120 
         400.00          0.3728          0.4678 
         450.00          0.3656          0.3824 
         500.00          0.4427          0.3867 
         550.00          0.3886          0.4590 
         600.00          0.4174          0.4069 
         650.00          0.4015          0.4622 
         700.00          0.4363          0.4946 
         750.00          0.3942          0.4628 
         800.00          0.3774          0.4834 
         850.00          0.3998          0.4934 
         900.00          0.4009          0.5057 
         950.00          0.3213          0.4593 
        1000.00          0.3926          0.4397 
        1050.00          0.3958          0.3156 
        1100.00          0.4468          0.3224 
        1150.00          0.4218          0.3117 
        1200.00          0.4831          0.2807 
        1250.00          0.4396          0.2618 
        1300.00          0.4792          0.2657 
        1350.00          0.5104          0.2891 
        1400.00          0.5094          0.2311 
        1450.00          0.4655          0.2989 
        1500.00          0.4253          0.3775 
        1550.00          0.4085          0.4599 
        1600.00          0.4065          0.4695 
        1650.00          0.3641          0.4742 
        1700.00          0.4156          0.5075 
        1750.00          0.3743          0.5121 
        1800.00          0.3409          0.5540 
        1850.00          0.3815          0.5889 
        1900.00          0.4035          0.5123 
        1950.00          0.3916          0.4988 
        2000.00          0.4119          0.4139 
        2050.00          0.4365          0.5022 
        2100.00          0.3991          0.4702 
        2150.00          0.4243          0.4674 
        2200.00          0.4041          0.4974 
        2250.00          0.4307          0.4999 
        2300.00          0.4564          0.5357 
        2350.00          0.4464          0.3884 
        2400.00          0.4277          0.4712 
        2450.00          0.3880          0.5132 
        2500.00          0.3554          0.4833 
        2550.00          0.4248          0.4292 
        2600.00          0.3971          0.4394 
        2650.00          0.4285          0.5218 
        2700.00          0.4219          0.4734 
        2750.00          0.4339          0.5295 
        2800.00          0.3890          0.4463 
        2850.00          0.4336          0.4500 
        2900.00          0.3874          0.5267 
        2950.00          0.3445          0.5158 
        3000.00          0.3735          0.5249 
        3050.00          0.3002          0.5054 
        3100.00          0.3409          0.4550 
        3150.00          0.3540          0.4608 
        3200.00          0.3667          0.5108 
        3250.00          0.3860          0.5268 
        3300.00          0.4228          0.5064 
        3350.00          0.3668          0.4991 
        3400.00          0.4149          0.4970 
        3450.00          0.3987          0.5158 
        3500.00          0.3755          0.4454 
        3550.00          0.3534          0.4437 
        3600.00          0.3197          0.4219 
        3650.00          0.3171          0.4311 
        3700.00          0.2796          0.4193 
        3750.00          0.3070          0.4320 
        3800.00          0.2600          0.4384 
        3850.00          0.2974          0.3705 
        3900.00          0.3163          0.3448 
        3950.00          0.3236          0.3754 
        4000.00          0.2995          0.3811 
        4050.00          0.3101          0.4143 
        4100.00          0.3084          0.4196 
        4150.00          0.3339          0.4541 
        4200.00          0.3662          0.5090 
        4250.00          0.3312          0.5276 
        4300.00          0.3876          0.6014 
        4350.00          0.4441          0.6671 
        4400.00          0.4464          0.6494 
        4450.00          0.3808          0.6482 
        4500.00          0.4003          0.5681 
        4550.00          0.4640          0.6508 
        4600.00          0.4133          0.6367 
        4650.00          0.4429          0.6912 
        4700.00          0.4710          0.6794 
        4750.00          0.4368          0.6939 
        4800.00          0.4783          0.6435 
        4850.00          0.4092          0.6367 
        4900.00          0.4077          0.5949 
        4950.00          0.4847          0.6262 
        5000.00          0.4606          0.5251 
        5000.00          0.4437          0.5675 
        5050.00          0.4230          0.5844 
        5100.00          0.3618          0.5448 
        5150.00          0.3808          0.5690 
        5200.00          0.4015          0.5443 
        5250.00          0.4133          0.5430 
        5300.00          0.4232          0.5652 
        5350.00          0.4894          0.5994 
        5400.00          0.3786          0.5507 
        5450.00          0.4192          0.6063 
        5500.00          0.4934          0.6015 
        5550.00          0.4264          0.5339 
        5600.00          0.4249          0.5714 
        5650.00          0.4380          0.5884 
        5700.00          0.3923          0.5779 
        5750.00          0.4052          0.5333 
        5800.00          0.3937          0.4896 
        5850.00          0.3915          0.4457 
        5900.00          0.3912          0.4632 
        5950.00          0.3828          0.4096 
        6000.00          0.3724          0.5054 
        6050.00          0.3622          0.4556 
        6100.00          0.3441          0.4710 
        6150.00          0.3799          0.4633 
        6200.00          0.4025          0.4385 
        6250.00          0.4323          0.3985 
        6300.00          0.4297          0.5101 
        6350.00          0.3864          0.5452 
        6400.00          0.4294          0.5803 
        6450.00          0.3895          0.5468 
        6500.00          0.3917          0.5951 
        6550.00          0.4288          0.6186 
        6600.00          0.4630          0.6662 
        6650.00          0.3853          0.5945 
        6700.00          0.3865          0.5223 
        6750.00          0.4331          0.5750 
        6800.00          0.4090          0.5394 
        6850.00          0.4269          0.5696 
        6900.00          0.4161          0.5497 
        6950.00          0.4303          0.6187 
        7000.00          0.4047          0.6566 
        7050.00          0.4467          0.6833 
        7100.00          0.4310          0.6683 
        7150.00          0.4582          0.5789 
        7200.00          0.4775          0.5388 
        7250.00          0.4791          0.5602 
        7300.00          0.3951          0.6195 
        7350.00          0.4695          0.6449 
        7400.00          0.4680          0.6703 
        7450.00          0.4672          0.7151 
        7500.00          0.4268          0.6529 
        7550.00          0.3855          0.6010 
        7600.00          0.3692          0.6069 
        7650.00          0.4050          0.5675 
        7700.00          0.4360          0.5956 
        7750.00          0.4068          0.5336 
        7800.00          0.4121          0.5121 
        7850.00          0.3904          0.4860 
        7900.00          0.3591          0.4746 
        7950.00          0.3670          0.4894 
        8000.00          0.4075          0.5702 
        8050.00          0.4106          0.6057 
        8100.00          0.4282          0.5140 
        8150.00          0.4187          0.4959 
        8200.00          0.3998          0.5088 
        8250.00          0.3689          0.4633 
        8300.00          0.3504          0.4910 
        8350.00          0.3921          0.5354 
        8400.00          0.4170          0.5991 
        8450.00          0.4116          0.6018 
        8500.00          0.3656          0.5446 
        8550.00          0.3998          0.5465 
        8600.00          0.4076          0.5884 
        8650.00          0.4959          0.7172 
        8700.00          0.4750          0.6645 
        8750.00          0.4654          0.6660 
        8800.00          0.5087          0.6531 
        8850.00          0.4505          0.6050 
        8900.00          0.5072          0.6819 
        8950.00          0.4241          0.5622 
        9000.00          0.4395          0.6196 
        9050.00          0.4040          0.5148 
        9100.00          0.4084          0.5219 
        9150.00          0.4085          0.3837 
        9200.00          0.4194          0.3770 
        9250.00          0.3620          0.3946 
        9300.00          0.3889          0.4716 
        9350.00          0.4333          0.5071 
        9400.00          0.4083          0.5391 
        9450.00          0.4575          0.5992 
        9500.00          0.4534          0.6286 
        9550.00          0.4438          0.6224 
        9600.00          0.4552          0.6662 
        9650.00          0.4056          0.6309 
        9700.00          0.3967          0.5781 
        9750.00          0.4198          0.6236 
        9800.00          0.4401          0.6162 
        9850.00          0.4129          0.6553 
        9900.00          0.4213          0.6471 
        9950.00          0.4090          0.6158 
       10000.00          0.4094          0.6007 
       10050.00          0.4930          0.6520 
       10100.00          0.4636          0.5557 
       10150.00          0.4244          0.5577 
       10200.00          0.4147          0.6277 
       10250.00          0.4646          0.6421 
       10300.00          0.4373          0.5893 
       10350.00          0.4644          0.5596 
       10400.00          0.4584          0.5991 
       10450.00          0.4040          0.4755 
       10500.00          0.3698          0.5427 
       10550.00          0.3873          0.4927 
       10600.00          0.3908          0.5338 
       10650.00          0.3448          0.4945 
       10700.00          0.3859          0.4541 
       10750.00          0.3990          0.4553 
       10800.00          0.4435          0.4234 
       10850.00          0.3999          0.3263 
       10900.00          0.3543          0.3750 
       10950.00          0.3733          0.3826 
       11000.00          0.3895          0.3573 
       11050.00          0.3963          0.2939 
       11100.00          0.4190          0.2230 
       11150.00          0.3867          0.2543 
       11200.00          0.4241          0.2632 
       11250.00          0.3882          0.2895 
       11300.00          0.3803          0.3970 
       11350.00          0.4025          0.3943 
       11400.00          0.3809          0.4581 
       11450.00          0.3409          0.4620 
       11500.00          0.3615          0.4246 
       11550.00          0.3468          0.3784 
       11600.00          0.3514          0.4454 
       11650.00          0.3805          0.4242 
       11700.00          0.3486          0.4440 
       11750.00          0.4078          0.4139 
       11800.00          0.4021          0.3915 
       11850.00          0.3507          0.3920 
       11900.00          0.3951          0.4945 
       11950.00          0.4269          0.5500 
       12000.00          0.4056          0.5797 
       12050.00          0.4095          0.6005 
       12100.00          0.4362          0.5210 
       12150.00          0.4372          0.4824 
       12200.00          0.4101          0.4919 
       12250.00          0.4151          0.5149 
       12300.00          0.4043          0.4410 
       12350.00          0.4158          0.4427 
       12400.00          0.4085          0.4124 
       12450.00          0.3859          0.4885 
       12500.00          0.3920          0.4202 
       12550.00          0.3917          0.4549 
       12600.00          0.4220          0.5053 
       12650.00          0.4325          0.5126 
       12700.00          0.4267          0.5582 
       12750.00          0.4174          0.5876 
       12800.00          0.3873          0.5504 
       12850.00          0.3888          0.5051 
       12900.00          0.4020          0.4360 
       12950.00          0.3803          0.5322 
       13000.00          0.4078          0.5708 
       13050.00          0.3998          0.4776 
       13100.00          0.3742          0.4567 
       13150.00          0.3835          0.4489 
       13200.00          0.3907          0.4660 
       13250.00          0.3876          0.5155 
       13300.00          0.3944          0.5327 
       13350.00          0.3902          0.5271 
       13400.00          0.3745          0.5520 
       13450.00          0.4051          0.5704 
       13500.00          0.3849          0.5013 
       13550.00          0.3928          0.4323 
       13600.00          0.4010          0.4895 
       13650.00          0.4309          0.5301 
       13700.00          0.4242          0.4101 
       13750.00          0.4143          0.4527 
       13800.00          0.4158          0.4296 
       13850.00          0.3885          0.4998 
       13900.00          0.4188          0.5461 
       13950.00          0.4856          0.5825 
       14000.00          0.3992          0.6024 
       14050.00          0.4564          0.5696 
       14100.00          0.4306          0.5498 
       14150.00          0.3960          0.5569 
       14200.00          0.3748          0.5471 
       14250.00          0.3571          0.5464 
       14300.00          0.3766          0.4836 
       14350.00          0.4303          0.4262 
       14400.00          0.3803          0.5059 
       14450.00          0.3295          0.5349 
       14500.00          0.3485          0.4898 
       14550.00          0.3203          0.4840 
       14600.00          0.3404          0.4598 
       14650.00          0.3892          0.4637 
       14700.00          0.4209          0.5547 
       14750.00          0.3739          0.5709 
       14800.00          0.3421          0.5710 
       14850.00          0.3726          0.5442 
       14900.00          0.2951          0.5291 
       14950.00          0.3380          0.5208 
       15000.00          0.3396          0.4873 
       15050.00          0.3407          0.5602 
       15100.00          0.3429          0.5304 
       15150.00          0.3487          0.5156 
       15200.00          0.3601          0.4429 
       15250.00          0.3535          0.4228 
       15300.00          0.3339          0.4018 
       15350.00          0.3415          0.4426 
       15400.00          0.3454          0.4666 
       15450.00          0.3411          0.4673 
       15500.00          0.4464          0.5558 
       15550.00          0.3796          0.5630 
       15600.00          0.3695          0.5480 
       15650.00          0.3357          0.5721 
       15700.00          0.3931          0.5793 
       15750.00          0.4221          0.4578 
       15800.00          0.4068          0.4293 
       15850.00          0.4454          0.4510 
       15900.00          0.4076          0.5028 
       15950.00          0.3973          0.4401 
       16000.00          0.3863          0.4329 
       16050.00          0.4352          0.3504 
       16100.00          0.4381          0.3184 
       16150.00          0.4004          0.3431 
       16200.00          0.4086          0.3618 
       16250.00          0.3911          0.4071 
       16300.00          0.3776          0.4134 
       16350.00          0.3586          0.4395 
       16400.00          0.3714          0.4536 
       16450.00          0.4191          0.4798 
       16500.00          0.4517          0.5017 
       16550.00          0.4265          0.4779 
       16600.00          0.4578          0.4936 
       16650.00          0.4363          0.5337 
       16700.00          0.4196          0.5579 
       16750.00          0.4448          0.5052 
       16800.00          0.4762          0.3859 
       16850.00          0.4747          0.3652 
       16900.00          0.4313          0.4190 
       16950.00          0.4478          0.3839 
       17000.00          0.4261          0.3777 
       17050.00          0.4054          0.3959 
       17100.00          0.3834          0.4436 
       17150.00          0.4277          0.5714 
       17200.00          0.4321          0.5654 
       17250.00          0.4365          0.5722 
       17300.00          0.4163          0.5229 
       17350.00          0.4233          0.5263 
       17400.00          0.4080          0.5859 
       17450.00          0.3618          0.5583 
       17500.00          0.3841          0.5093 
       17550.00          0.4060          0.5414 
       17600.00          0.4021          0.4963 
       17650.00          0.3813          0.4895 
       17700.00          0.3830          0.5681 
       17750.00          0.4014          0.6234 
       17800.00          0.3869          0.5576 
       17850.00          0.3942          0.5031 
       17900.00          0.4089          0.5706 
       17950.00          0.4602          0.5944 
       18000.00          0.3874          0.5524 
       18050.00          0.3984          0.5352 
       18100.00          0.4082          0.4582 
       18150.00          0.4073          0.4392 
       18200.00          0.4452          0.4309 
       18250.00          0.4639          0.4203 
       18300.00          0.4091          0.4325 
       18350.00          0.4142          0.4793 
       18400.00          0.4410          0.4701 
       18450.00          0.3683          0.5143 
       18500.00          0.4244          0.5367 
       18550.00          0.3829          0.5143 
       18600.00          0.4025          0.4929 
       18650.00          0.3993          0.5280 
       18700.00          0.4499          0.6295 
       18750.00          0.3813          0.5389 
       18800.00          0.4253          0.5187 
       18850.00          0.3904          0.5304 
       18900.00          0.3805          0.4735 
       18950.00          0.4405          0.4291 
       19000.00          0.4702          0.3328 
       19050.00          0.4707          0.3214 
       19100.00          0.4156          0.3002 
       19150.00          0.4959          0.2432 
       19200.00          0.4316          0.2825 
       19250.00          0.4342          0.2604 
       19300.00          0.4153          0.3282 
       19350.00          0.3972          0.3807 
       19400.00          0.3487          0.4171 
