# Cv and PE at different T
#   binNum                    U                   Cv
    236.50             -30.7132              15.0301
    238.29             -30.6591              15.3189
    240.09             -30.6039              15.6228
    241.88             -30.5476              15.9423
    243.68             -30.4902              16.2777
    245.47             -30.4315              16.6296
    247.27             -30.3715              16.9983
    249.06             -30.3102              17.3846
    250.86             -30.2475              17.7889
    252.66             -30.1833              18.2119
    254.45             -30.1175              18.6546
    256.25             -30.0502              19.1179
    258.04             -29.9811              19.6028
    259.83             -29.9103              20.1108
    261.63             -29.8376              20.6435
    263.43             -29.7630              21.2029
    265.22             -29.6863              21.7914
    267.01             -29.6075              22.4121
    268.81             -29.5264              23.0685
    270.61             -29.4429              23.7651
    272.40             -29.3568              24.5076
    274.19             -29.2680              25.3026
    275.99             -29.1762              26.1584
    277.78             -29.0813              27.0853
    279.58             -28.9829              28.0956
    281.38             -28.8807              29.2044
    283.17             -28.7744              30.4300
    284.96             -28.6635              31.7945
    286.76             -28.5474              33.3245
    288.56             -28.4255              35.0515
    290.35             -28.2970              37.0130
    292.14             -28.1611              39.2532
    293.94             -28.0166              41.8236
    295.74             -27.8623              44.7836
    297.53             -27.6966              48.2009
    299.32             -27.5178              52.1520
    301.12             -27.3238              56.7211
    302.91             -27.1123              61.9993
    304.71             -26.8805              68.0825
    306.50             -26.6255              75.0680
    308.30             -26.3438              83.0491
    310.10             -26.0317              92.1081
    311.89             -25.6853             102.3076
    313.69             -25.3005             113.6785
    315.48             -24.8730             126.2070
    317.27             -24.3988             139.8202
    319.07             -23.8744             154.3720
    320.87             -23.2967             169.6313
    322.66             -22.6637             185.2746
    324.45             -21.9749             200.8872
    326.25             -21.2312             215.9743
    328.05             -20.4354             229.9841
    329.84             -19.5925             242.3433
    331.63             -18.7092             252.5017
    333.43             -17.7943             259.9811
    335.23             -16.8581             264.4213
    337.02             -15.9118             265.6165
    338.81             -14.9670             263.5347
    340.61             -14.0354             258.3177
    342.40             -13.1276             250.2619
    344.20             -12.2529             239.7841
    346.00             -11.4192             227.3779
    347.79             -10.6325             213.5688
    349.58              -9.8967             198.8727
    351.38              -9.2142             183.7644
    353.18              -8.5857             168.6548
    354.97              -8.0106             153.8799
    356.76              -7.4872             139.6980
    358.56              -7.0130             126.2939
    360.36              -6.5851             113.7868
    362.15              -6.2001             102.2413
    363.94              -5.8546              91.6781
    365.74              -5.5449              82.0849
    367.53              -5.2679              73.4252
    369.33              -5.0201              65.6471
    371.12              -4.7986              58.6885
    372.92              -4.6005              52.4828
    374.72              -4.4233              46.9621
    376.51              -4.2647              42.0598
    378.31              -4.1226              37.7124
    380.10              -3.9951              33.8602
    381.89              -3.8805              30.4486
    383.69              -3.7774              27.4274
    385.49              -3.6844              24.7517
    387.28              -3.6005              22.3809
    389.07              -3.5245              20.2789
    390.87              -3.4555              18.4138
    392.66              -3.3928              16.7573
    394.46              -3.3357              15.2845
    396.25              -3.2836              13.9733
    398.05              -3.2359              12.8045
    399.85              -3.1921              11.7613
    401.64              -3.1519              10.8287
    403.44              -3.1147               9.9937
    405.23              -3.0805               9.2450
    407.02              -3.0487               8.5725
    408.82              -3.0192               7.9676
    410.62              -2.9918               7.4224
    412.41              -2.9662               6.9304
    414.20              -2.9423               6.4855
    416.00              -2.9199               6.0825
