#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00           10.4603            1.8396           -6.5300            0.0000           -4.6903
          50.00          441.7911           77.6967           -4.1068            0.0000           73.5899
         100.00          376.8991           66.2843           -2.2063            0.0000           64.0780
         150.00          410.4033           72.1766           -1.7680            0.0000           70.4086
         200.00          351.7917           61.8688           -2.9667            0.0000           58.9021
         250.00          344.4269           60.5735           -2.8025            0.0000           57.7710
         300.00          354.2981           62.3095           -1.4977            0.0000           60.8118
         350.00          443.8919           78.0662           -3.1795            0.0000           74.8867
         400.00          323.1095           56.8245           -2.2324            0.0000           54.5921
         450.00          393.7145           69.2416           -2.0370            0.0000           67.2046
         500.00          463.1407           81.4514           -3.2779            0.0000           78.1735
         550.00          358.5634           63.0597           -2.3209            0.0000           60.7387
         600.00          386.0697           67.8971           -2.8668            0.0000           65.0304
         650.00          424.1481           74.5939           -1.7609            0.0000           72.8330
         700.00          408.0730           71.7668           -2.6109            0.0000           69.1559
         750.00          417.7258           73.4644           -0.4196            0.0000           73.0448
         800.00          378.9948           66.6529           -3.9823            0.0000           62.6706
         850.00          364.5846           64.1186           -2.3398            0.0000           61.7788
         900.00          474.1270           83.3836           -1.8247            0.0000           81.5589
         950.00          433.2677           76.1977           -2.6973            0.0000           73.5005
        1000.00          371.7267           65.3747           -2.5270            0.0000           62.8477
        1050.00          414.6421           72.9221           -2.7413            0.0000           70.1808
        1100.00          344.5605           60.5970           -2.4882            0.0000           58.1088
        1150.00          405.0445           71.2342           -2.7835            0.0000           68.4507
        1200.00          360.0120           63.3144           -3.8544            0.0000           59.4601
        1250.00          417.6342           73.4483           -2.8697            0.0000           70.5786
        1300.00          324.4237           57.0556           -2.1466            0.0000           54.9090
        1350.00          368.9684           64.8896           -3.4148            0.0000           61.4748
        1400.00          439.2480           77.2495           -2.9282            0.0000           74.3213
        1450.00          365.6498           64.3059           -1.3953            0.0000           62.9106
        1500.00          371.2452           65.2900           -0.7413            0.0000           64.5486
        1550.00          329.7742           57.9966           -2.8012            0.0000           55.1954
        1600.00          392.9896           69.1141           -3.1340            0.0000           65.9801
        1650.00          366.6580           64.4832           -2.5328            0.0000           61.9505
        1700.00          374.9243           65.9370           -2.9532            0.0000           62.9838
        1750.00          484.6476           85.2338           -3.4892            0.0000           81.7446
        1800.00          418.9956           73.6877           -2.4301            0.0000           71.2577
        1850.00          370.9027           65.2298           -2.3001            0.0000           62.9296
        1900.00          459.4362           80.7999           -1.8836            0.0000           78.9163
        1950.00          342.7150           60.2725           -0.8938            0.0000           59.3786
        2000.00          392.6910           69.0616           -2.9380            0.0000           66.1236
        2050.00          442.0684           77.7455           -1.8730            0.0000           75.8725
        2100.00          365.1413           64.2165           -1.4567            0.0000           62.7598
        2150.00          432.0516           75.9839           -4.1675            0.0000           71.8163
        2200.00          405.9694           71.3968           -7.3073            0.0000           64.0895
        2250.00          438.1419           77.0550           -6.9222            0.0000           70.1328
        2300.00          342.3685           60.2115           -5.4508            0.0000           54.7607
        2350.00          368.2526           64.7637           -6.9747            0.0000           57.7889
        2400.00          461.0319           81.0806           -6.6195            0.0000           74.4611
        2450.00          406.1400           71.4268           -7.7091            0.0000           63.7177
        2500.00          437.5342           76.9481           -8.3685            0.0000           68.5796
        2550.00          457.5956           80.4762           -7.0712            0.0000           73.4050
        2600.00          394.2190           69.3303           -6.3467            0.0000           62.9836
        2650.00          285.7335           50.2513           -5.4933            0.0000           44.7580
        2700.00          379.2979           66.7062           -3.9358            0.0000           62.7704
        2750.00          488.8824           85.9786           -1.0948            0.0000           84.8838
        2800.00          336.6874           59.2124           -3.2208            0.0000           55.9916
        2850.00          285.9032           50.2811           -3.1655            0.0000           47.1156
        2900.00          448.3666           78.8531           -3.1606            0.0000           75.6926
        2950.00          291.2206           51.2163           -2.5705            0.0000           48.6458
        3000.00          363.3026           63.8931           -2.7504            0.0000           61.1427
        3050.00          301.4922           53.0227           -1.8521            0.0000           51.1706
        3100.00          372.2214           65.4617           -2.0200            0.0000           63.4416
        3150.00          386.1228           67.9065           -3.2214            0.0000           64.6851
        3200.00          362.8494           63.8134           -4.5200            0.0000           59.2934
        3250.00          356.2016           62.6443           -3.7469            0.0000           58.8974
        3300.00          362.8335           63.8106           -3.9325            0.0000           59.8782
        3350.00          417.6499           73.4511           -3.9878            0.0000           69.4632
        3400.00          388.7978           68.3769           -2.5104            0.0000           65.8665
        3450.00          374.0275           65.7793           -2.4595            0.0000           63.3198
        3500.00          420.4217           73.9385           -3.5981            0.0000           70.3404
        3550.00          409.3289           71.9877           -3.2169            0.0000           68.7708
        3600.00          405.0191           71.2297           -1.3857            0.0000           69.8440
        3650.00          429.4407           75.5247           -1.7183            0.0000           73.8064
        3700.00          399.2531           70.2157           -3.2857            0.0000           66.9300
        3750.00          383.6449           67.4707           -1.3303            0.0000           66.1404
        3800.00          382.6398           67.2939           -3.7393            0.0000           63.5547
        3850.00          402.5592           70.7971           -3.2734            0.0000           67.5237
        3900.00          376.9071           66.2857           -2.8010            0.0000           63.4847
        3950.00          445.4865           78.3466           -4.0899            0.0000           74.2568
        4000.00          410.1067           72.1245           -4.0103            0.0000           68.1142
        4050.00          345.0261           60.6789           -3.8926            0.0000           56.7863
        4100.00          318.0018           55.9262           -2.9051            0.0000           53.0211
        4150.00          397.3695           69.8844           -0.8467            0.0000           69.0377
        4200.00          332.0104           58.3899           -2.2090            0.0000           56.1809
        4250.00          394.5216           69.3835           -3.1630            0.0000           66.2205
        4300.00          360.2822           63.3620           -2.5559            0.0000           60.8060
        4350.00          395.2993           69.5203           -2.6661            0.0000           66.8542
        4400.00          399.8367           70.3183           -2.2341            0.0000           68.0842
        4450.00          410.0030           72.1062           -2.9202            0.0000           69.1860
        4500.00          348.3813           61.2690           -2.4200            0.0000           58.8489
        4550.00          441.0277           77.5625           -2.8621            0.0000           74.7004
        4600.00          308.7690           54.3024           -1.5345            0.0000           52.7679
        4650.00          428.9215           75.4334           -1.0674            0.0000           74.3660
        4700.00          411.1646           72.3105           -2.8225            0.0000           69.4880
        4750.00          330.3019           58.0894           -2.2071            0.0000           55.8823
        4800.00          381.7045           67.1294           -2.5875            0.0000           64.5419
        4850.00          382.0534           67.1908           -3.9947            0.0000           63.1961
        4900.00          468.4287           82.3814           -2.6544            0.0000           79.7270
        4950.00          344.3384           60.5580           -3.0621            0.0000           57.4959
        5000.00          393.4790           69.2002           -2.4485            0.0000           66.7517
        5050.00          438.6316           77.1411           -2.4440            0.0000           74.6970
        5100.00          405.9791           71.3985           -2.8037            0.0000           68.5949
        5150.00          454.2007           79.8792           -0.5959            0.0000           79.2832
        5200.00          405.5232           71.3184           -2.0973            0.0000           69.2211
        5250.00          360.6060           63.4189           -1.5404            0.0000           61.8785
        5300.00          374.9554           65.9425           -1.6607            0.0000           64.2818
        5350.00          337.4335           59.3436           -2.6517            0.0000           56.6919
        5400.00          327.1027           57.5267           -2.4046            0.0000           55.1222
        5450.00          330.2202           58.0750           -2.1671            0.0000           55.9080
        5500.00          403.5047           70.9634           -3.6955            0.0000           67.2679
        5550.00          269.8144           47.4516           -3.0518            0.0000           44.3998
        5600.00          476.9371           83.8778           -1.7708            0.0000           82.1070
        5650.00          422.7567           74.3492           -2.3280            0.0000           72.0212
        5700.00          413.0731           72.6462           -1.8847            0.0000           70.7614
        5750.00          298.5439           52.5042           -2.8366            0.0000           49.6676
        5800.00          349.9122           61.5382           -1.6373            0.0000           59.9009
        5850.00          395.0424           69.4752           -2.1571            0.0000           67.3180
        5900.00          351.8918           61.8863           -3.2415            0.0000           58.6449
        5950.00          402.4211           70.7728           -2.9732            0.0000           67.7996
        6000.00          365.7005           64.3149           -2.4206            0.0000           61.8943
        6050.00          413.1230           72.6549           -1.5211            0.0000           71.1338
        6100.00          306.1753           53.8463           -2.5611            0.0000           51.2852
        6150.00          405.8516           71.3761           -2.0134            0.0000           69.3627
        6200.00          396.6913           69.7651           -2.4784            0.0000           67.2867
        6250.00          479.7664           84.3753           -1.7129            0.0000           82.6624
        6300.00          395.9184           69.6292           -2.1962            0.0000           67.4330
        6350.00          397.8416           69.9674           -2.5504            0.0000           67.4171
        6400.00          373.6832           65.7187           -4.0405            0.0000           61.6782
        6450.00          400.3203           70.4034           -4.2050            0.0000           66.1984
        6500.00          328.2093           57.7214           -3.1084            0.0000           54.6129
        6550.00          409.4808           72.0144           -3.1845            0.0000           68.8299
        6600.00          395.1492           69.4939           -3.6943            0.0000           65.7996
        6650.00          400.0682           70.3590           -1.8371            0.0000           68.5220
        6700.00          420.5080           73.9537           -3.8630            0.0000           70.0908
        6750.00          302.9004           53.2704           -3.3791            0.0000           49.8913
        6800.00          406.4591           71.4830           -3.2012            0.0000           68.2818
        6850.00          480.3524           84.4784           -3.7460            0.0000           80.7324
        6900.00          462.0540           81.2603           -2.5404            0.0000           78.7199
        6950.00          338.2508           59.4873           -3.6987            0.0000           55.7886
        7000.00          326.7003           57.4560           -2.7812            0.0000           54.6748
        7050.00          429.1843           75.4796           -2.9382            0.0000           72.5414
        7100.00          331.8008           58.3530           -2.1297            0.0000           56.2233
        7150.00          450.6961           79.2628           -3.1225            0.0000           76.1403
        7200.00          427.0189           75.0988           -2.1621            0.0000           72.9367
        7250.00          289.0351           50.8319           -2.2263            0.0000           48.6056
        7300.00          375.3238           66.0073           -3.1084            0.0000           62.8989
        7350.00          336.4902           59.1777           -3.9290            0.0000           55.2487
        7400.00          320.3160           56.3332           -2.8373            0.0000           53.4959
        7450.00          357.4681           62.8670           -2.9477            0.0000           59.9194
        7500.00          386.2052           67.9210           -3.1073            0.0000           64.8136
        7550.00          409.5146           72.0203           -2.0266            0.0000           69.9938
        7600.00          336.5766           59.1929           -3.7639            0.0000           55.4290
        7650.00          469.4684           82.5643           -3.1312            0.0000           79.4331
        7700.00          382.3593           67.2446           -3.3083            0.0000           63.9363
        7750.00          370.4429           65.1489           -3.9278            0.0000           61.2211
        7800.00          397.3591           69.8826           -2.5254            0.0000           67.3572
        7850.00          377.6112           66.4096           -3.9050            0.0000           62.5045
        7900.00          391.3946           68.8336           -3.2105            0.0000           65.6232
        7950.00          307.2800           54.0406           -3.8369            0.0000           50.2037
        8000.00          391.6123           68.8719           -3.8027            0.0000           65.0692
        8050.00          375.9925           66.1249           -3.3494            0.0000           62.7755
        8100.00          478.7083           84.1893           -2.6010            0.0000           81.5883
        8150.00          432.8320           76.1211           -2.7706            0.0000           73.3505
        8200.00          432.5229           76.0668           -2.1463            0.0000           73.9204
        8250.00          332.1190           58.4090           -2.0681            0.0000           56.3409
        8300.00          457.1284           80.3941           -2.4511            0.0000           77.9429
        8350.00          427.8561           75.2460           -4.2005            0.0000           71.0455
        8400.00          410.8274           72.2512           -0.5141            0.0000           71.7371
        8450.00          349.4633           61.4593           -3.2370            0.0000           58.2223
        8500.00          396.4345           69.7200           -1.8547            0.0000           67.8652
        8550.00          408.6908           71.8755           -3.3069            0.0000           68.5685
        8600.00          360.0972           63.3294           -2.9763            0.0000           60.3531
        8650.00          376.1298           66.1490           -2.8193            0.0000           63.3298
        8700.00          384.4427           67.6110           -2.7542            0.0000           64.8568
        8750.00          304.2887           53.5145           -3.8417            0.0000           49.6728
        8800.00          343.1723           60.3529           -2.8853            0.0000           57.4676
        8850.00          271.2447           47.7031           -2.7727            0.0000           44.9305
        8900.00          318.3069           55.9799           -2.1550            0.0000           53.8249
        8950.00          403.3956           70.9442           -1.9310            0.0000           69.0132
        9000.00          391.2839           68.8141           -0.5240            0.0000           68.2902
        9050.00          390.1957           68.6228           -3.0907            0.0000           65.5321
        9100.00          362.8535           63.8142           -3.6589            0.0000           60.1552
        9150.00          327.3669           57.5732           -3.9061            0.0000           53.6671
        9200.00          382.2840           67.2314           -2.8359            0.0000           64.3954
        9250.00          360.7344           63.4415           -2.8004            0.0000           60.6411
        9300.00          399.8775           70.3255           -3.1627            0.0000           67.1628
        9350.00          433.8401           76.2984           -2.3384            0.0000           73.9600
        9400.00          485.0998           85.3133           -2.5503            0.0000           82.7630
        9450.00          418.7191           73.6391           -2.5421            0.0000           71.0970
        9500.00          455.5598           80.1182           -2.3545            0.0000           77.7637
        9550.00          449.5645           79.0638           -2.1456            0.0000           76.9182
        9600.00          371.6165           65.3553           -1.6938            0.0000           63.6615
        9650.00          338.7474           59.5747           -2.9304            0.0000           56.6443
        9700.00          300.2513           52.8045           -3.8380            0.0000           48.9664
        9750.00          365.7852           64.3298           -2.0795            0.0000           62.2502
        9800.00          355.9268           62.5960           -2.4007            0.0000           60.1953
        9850.00          429.0428           75.4547           -2.9367            0.0000           72.5180
        9900.00          364.6855           64.1364           -1.7107            0.0000           62.4257
        9950.00          274.3009           48.2406           -2.2914            0.0000           45.9492
       10000.00          389.3948           68.4819           -3.5408            0.0000           64.9411
       10050.00          338.2887           59.4940           -1.8240            0.0000           57.6700
       10100.00          448.0391           78.7955           -2.6681            0.0000           76.1274
       10150.00          534.9391           94.0784           -2.7247            0.0000           91.3538
       10200.00          351.1483           61.7556           -2.1956            0.0000           59.5600
       10250.00          435.7229           76.6295           -2.5962            0.0000           74.0333
       10300.00          482.2943           84.8199           -1.9882            0.0000           82.8317
       10350.00          405.7475           71.3578           -2.6180            0.0000           68.7399
       10400.00          402.0467           70.7070           -1.7133            0.0000           68.9936
       10450.00          434.9891           76.5005           -3.9664            0.0000           72.5341
       10500.00          458.3908           80.6161           -2.4531            0.0000           78.1629
       10550.00          365.3767           64.2579           -3.9520            0.0000           60.3059
       10600.00          390.6438           68.7016           -2.7281            0.0000           65.9735
       10650.00          352.5877           62.0087           -3.2717            0.0000           58.7370
       10700.00          392.8216           69.0846           -2.2590            0.0000           66.8256
       10750.00          434.6095           76.4337           -2.2769            0.0000           74.1568
       10800.00          332.8609           58.5394           -2.3265            0.0000           56.2129
       10850.00          393.6657           69.2330           -1.6050            0.0000           67.6280
       10900.00          425.7600           74.8774           -3.0645            0.0000           71.8128
       10950.00          424.8086           74.7100           -3.8831            0.0000           70.8270
       11000.00          364.1709           64.0459           -4.1016            0.0000           59.9442
       11050.00          429.3284           75.5049           -2.1443            0.0000           73.3606
       11100.00          386.3786           67.9515           -3.1938            0.0000           64.7576
       11150.00          499.1183           87.7787           -2.3151            0.0000           85.4636
       11200.00          383.1396           67.3818           -1.4819            0.0000           65.9000
       11250.00          400.4871           70.4327           -2.0745            0.0000           68.3582
       11300.00          395.5683           69.5676           -2.6002            0.0000           66.9675
       11350.00          406.8470           71.5512           -2.5077            0.0000           69.0435
       11400.00          323.5972           56.9102           -4.0442            0.0000           52.8660
       11450.00          387.3183           68.1167           -3.1170            0.0000           64.9997
       11500.00          395.9301           69.6313           -2.7994            0.0000           66.8319
       11550.00          302.2619           53.1581           -2.1626            0.0000           50.9955
       11600.00          349.3931           61.4469           -3.6175            0.0000           57.8294
       11650.00          399.3396           70.2309           -3.0231            0.0000           67.2078
       11700.00          285.8984           50.2803           -2.7965            0.0000           47.4837
       11750.00          374.1733           65.8049           -1.6556            0.0000           64.1493
       11800.00          423.2011           74.4274           -2.9195            0.0000           71.5079
       11850.00          436.5087           76.7677           -2.8866            0.0000           73.8811
       11900.00          385.9880           67.8828           -3.5827            0.0000           64.3000
       11950.00          497.6589           87.5221           -2.2882            0.0000           85.2338
       12000.00          396.4455           69.7219           -2.9446            0.0000           66.7773
       12050.00          333.6644           58.6807           -2.5623            0.0000           56.1184
       12100.00          345.9397           60.8396           -2.4061            0.0000           58.4335
       12150.00          401.9502           70.6900           -2.4763            0.0000           68.2137
       12200.00          498.7270           87.7099           -2.5181            0.0000           85.1918
       12250.00          470.4884           82.7436           -3.3498            0.0000           79.3938
       12300.00          350.6014           61.6594           -3.1506            0.0000           58.5088
       12350.00          342.3950           60.2162           -3.6216            0.0000           56.5946
       12400.00          496.2324           87.2712           -2.3481            0.0000           84.9231
       12450.00          438.4573           77.1104           -4.6707            0.0000           72.4397
       12500.00          315.1577           55.4260           -3.2418            0.0000           52.1843
       12550.00          442.7363           77.8630           -3.2098            0.0000           74.6532
       12600.00          405.5605           71.3249           -3.7640            0.0000           67.5610
       12650.00          436.9568           76.8465           -2.2549            0.0000           74.5916
       12700.00          450.1250           79.1624           -2.7052            0.0000           76.4572
       12750.00          321.5573           56.5515           -3.4125            0.0000           53.1390
       12800.00          412.3691           72.5223           -1.3817            0.0000           71.1407
       12850.00          450.5372           79.2349           -2.4953            0.0000           76.7396
