# Free Energy
#   binNum               236.50 (K)               250.00 (K)               263.50 (K)               277.50 (K)               292.50 (K)               308.00 (K)               324.50 (K)               341.00 (K)               359.00 (K)               377.00 (K)               396.00 (K)               416.00 (K) 
      0.00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.01          -1.0571e+01          -9.4660e+00          -8.3612e+00          -7.2155e+00          -5.9880e+00          -4.7196e+00          -3.3694e+00          -2.0191e+00          -5.4609e-01           9.2691e-01           2.4818e+00           4.1184e+00 
      0.02          -1.2250e+01          -1.1202e+01          -1.0154e+01          -9.0673e+00          -7.9028e+00          -6.6995e+00          -5.4185e+00          -4.1376e+00          -2.7402e+00          -1.3428e+00           1.3226e-01           1.6849e+00 
      0.03          -1.2824e+01          -1.1829e+01          -1.0833e+01          -9.8009e+00          -8.6947e+00          -7.5517e+00          -6.3349e+00          -5.1181e+00          -3.7907e+00          -2.4633e+00          -1.0621e+00           4.1275e-01 
      0.04          -1.3081e+01          -1.2106e+01          -1.1130e+01          -1.0119e+01          -9.0354e+00          -7.9157e+00          -6.7236e+00          -5.5316e+00          -4.2313e+00          -2.9309e+00          -1.5583e+00          -1.1345e-01 
      0.05          -1.3415e+01          -1.2454e+01          -1.1492e+01          -1.0495e+01          -9.4265e+00          -8.3225e+00          -7.1472e+00          -5.9720e+00          -4.6899e+00          -3.4078e+00          -2.0544e+00          -6.2989e-01 
      0.06          -1.3494e+01          -1.2544e+01          -1.1594e+01          -1.0608e+01          -9.5528e+00          -8.4620e+00          -7.3009e+00          -6.1397e+00          -4.8730e+00          -3.6063e+00          -2.2692e+00          -8.6173e-01 
      0.07          -1.3374e+01          -1.2428e+01          -1.1481e+01          -1.0499e+01          -9.4478e+00          -8.3611e+00          -7.2043e+00          -6.0475e+00          -4.7855e+00          -3.5235e+00          -2.1914e+00          -7.8916e-01 
      0.08          -1.3163e+01          -1.2223e+01          -1.1283e+01          -1.0308e+01          -9.2642e+00          -8.1852e+00          -7.0366e+00          -5.8880e+00          -4.6349e+00          -3.3819e+00          -2.0592e+00          -6.6696e-01 
      0.09          -1.2836e+01          -1.1910e+01          -1.0984e+01          -1.0023e+01          -8.9943e+00          -7.9311e+00          -6.7992e+00          -5.6674e+00          -4.4326e+00          -3.1979e+00          -1.8945e+00          -5.2260e-01 
      0.10          -1.2612e+01          -1.1688e+01          -1.0764e+01          -9.8057e+00          -8.7792e+00          -7.7184e+00          -6.5892e+00          -5.4600e+00          -4.2281e+00          -2.9963e+00          -1.6960e+00          -3.2722e-01 
      0.11          -1.2395e+01          -1.1501e+01          -1.0607e+01          -9.6807e+00          -8.6877e+00          -7.6616e+00          -6.5693e+00          -5.4770e+00          -4.2854e+00          -3.0938e+00          -1.8360e+00          -5.1195e-01 
      0.12          -1.2221e+01          -1.1346e+01          -1.0471e+01          -9.5628e+00          -8.5903e+00          -7.5853e+00          -6.5154e+00          -5.4456e+00          -4.2785e+00          -3.1114e+00          -1.8795e+00          -5.8276e-01 
      0.13          -1.1967e+01          -1.1124e+01          -1.0281e+01          -9.4064e+00          -8.4698e+00          -7.5019e+00          -6.4715e+00          -5.4412e+00          -4.3172e+00          -3.1932e+00          -2.0067e+00          -7.5781e-01 
