# Probability
#   binNum               236.50 (K)               250.00 (K)               263.50 (K)               277.50 (K)               292.50 (K)               308.00 (K)               324.50 (K)               341.00 (K)               359.00 (K)               377.00 (K)               396.00 (K)               416.00 (K) 
    0.0000           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
    0.0100           4.3610e-04           4.2237e-04           4.0149e-04           3.7116e-04           3.2747e-04           2.6684e-04           1.7666e-04           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
    0.0200           1.5548e-02           1.3917e-02           1.2325e-02           1.0665e-02           8.8276e-03           6.7782e-03           4.2388e-03           1.7272e-03           3.8608e-04           0.0000e+00           0.0000e+00           0.0000e+00 
    0.0300           5.2743e-02           4.9123e-02           4.5082e-02           4.0331e-02           3.4475e-02           2.7275e-02           1.7554e-02           7.3405e-03           1.6834e-03           3.2248e-04           0.0000e+00           0.0000e+00 
    0.0400           9.1053e-02           8.5769e-02           7.9520e-02           7.1818e-02           6.1954e-02           4.9436e-02           3.2078e-02           1.3514e-02           3.1218e-03           6.0200e-04           1.1208e-04           0.0000e+00 
    0.0500           1.8544e-01           1.7280e-01           1.5866e-01           1.4199e-01           1.2142e-01           9.6102e-02           6.1871e-02           2.5881e-02           5.9371e-03           1.1377e-03           2.1055e-04           0.0000e+00 
    0.0600           2.1912e-01           2.0710e-01           1.9259e-01           1.7443e-01           1.5089e-01           1.2071e-01           7.8516e-02           3.3150e-02           7.6746e-03           1.4829e-03           2.7661e-04           0.0000e+00 
    0.0700           1.6985e-01           1.6392e-01           1.5532e-01           1.4316e-01           1.2595e-01           1.0236e-01           6.7593e-02           2.8930e-02           6.7884e-03           1.3277e-03           2.5056e-04           0.0000e+00 
    0.0800           1.0831e-01           1.0856e-01           1.0642e-01           1.0124e-01           9.1840e-02           7.6792e-02           5.2116e-02           2.2863e-02           5.4970e-03           1.0991e-03           2.1183e-04           0.0000e+00 
    0.0900           5.4036e-02           5.7807e-02           6.0078e-02           6.0369e-02           5.7727e-02           5.0698e-02           3.6067e-02           1.6511e-02           4.1397e-03           8.5971e-04           1.7183e-04           0.0000e+00 
    0.1000           3.3541e-02           3.6978e-02           3.9483e-02           4.0689e-02           3.9868e-02           3.5817e-02           2.6041e-02           1.2158e-02           3.1080e-03           6.5686e-04           1.3351e-04           0.0000e+00 
