@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0000          0.4517 
          50.00          0.1264          0.4651 
         100.00          0.1460          0.4601 
         150.00          0.1932          0.5129 
         200.00          0.2197          0.4656 
         250.00          0.2551          0.4768 
         300.00          0.2258          0.4569 
         350.00          0.2421          0.4741 
         400.00          0.2280          0.4302 
         450.00          0.2128          0.4318 
         500.00          0.2289          0.4527 
         550.00          0.2372          0.4118 
         600.00          0.2660          0.4576 
         650.00          0.2827          0.4079 
         700.00          0.2850          0.4051 
         750.00          0.2363          0.4366 
         800.00          0.2659          0.4164 
         850.00          0.2708          0.4311 
         900.00          0.2282          0.4454 
         950.00          0.2588          0.4263 
        1000.00          0.2606          0.4197 
        1050.00          0.2607          0.4157 
        1100.00          0.2766          0.4078 
        1150.00          0.2639          0.4179 
        1200.00          0.2979          0.3825 
        1250.00          0.2583          0.4189 
        1300.00          0.2934          0.4119 
        1350.00          0.2901          0.3984 
        1400.00          0.3162          0.4146 
        1450.00          0.3107          0.4033 
        1500.00          0.2792          0.4098 
        1550.00          0.2567          0.4335 
        1600.00          0.2601          0.4114 
        1650.00          0.2436          0.4155 
        1700.00          0.2466          0.4311 
        1750.00          0.2835          0.4218 
        1800.00          0.2450          0.4319 
        1850.00          0.2573          0.4148 
        1900.00          0.2522          0.4403 
        1950.00          0.2928          0.4123 
        2000.00          0.3166          0.3878 
        2050.00          0.3087          0.3906 
        2100.00          0.2811          0.4028 
        2150.00          0.2776          0.4421 
        2200.00          0.2781          0.4542 
        2250.00          0.2948          0.3935 
        2300.00          0.3033          0.4657 
        2350.00          0.2417          0.4282 
        2400.00          0.2497          0.4379 
        2450.00          0.2777          0.4460 
        2500.00          0.2843          0.3730 
        2550.00          0.2424          0.4712 
        2600.00          0.2885          0.3967 
        2650.00          0.2676          0.4335 
        2700.00          0.2464          0.4232 
        2750.00          0.2953          0.3838 
        2800.00          0.2636          0.4270 
        2850.00          0.2351          0.4166 
        2900.00          0.2174          0.4444 
        2950.00          0.2642          0.3908 
        3000.00          0.2849          0.3770 
        3050.00          0.2715          0.4005 
        3100.00          0.2417          0.4013 
        3150.00          0.2643          0.3988 
        3200.00          0.2810          0.3893 
        3250.00          0.2818          0.3861 
        3300.00          0.2177          0.4349 
        3350.00          0.2523          0.4150 
        3400.00          0.2591          0.3953 
        3450.00          0.2795          0.3844 
        3500.00          0.2687          0.3857 
        3550.00          0.2433          0.4039 
        3600.00          0.1920          0.4473 
        3650.00          0.2424          0.4071 
        3700.00          0.2533          0.4079 
        3750.00          0.2826          0.3852 
        3800.00          0.2588          0.3978 
        3850.00          0.2660          0.3836 
        3900.00          0.2197          0.4301 
        3950.00          0.2699          0.3801 
        4000.00          0.2722          0.3957 
        4050.00          0.2786          0.3831 
        4100.00          0.2847          0.3808 
        4150.00          0.2425          0.4136 
        4200.00          0.2830          0.3888 
        4250.00          0.2685          0.3938 
        4300.00          0.2403          0.4285 
        4350.00          0.2483          0.4068 
        4400.00          0.2897          0.3709 
        4450.00          0.2901          0.3743 
        4500.00          0.2961          0.3876 
        4550.00          0.2558          0.4199 
        4600.00          0.2470          0.4127 
        4650.00          0.2473          0.4025 
        4700.00          0.2613          0.4084 
        4750.00          0.2606          0.4097 
        4800.00          0.2738          0.3894 
        4850.00          0.2579          0.4111 
        4900.00          0.2748          0.3885 
        4950.00          0.3034          0.3799 
        5000.00          0.2673          0.4050 
        5050.00          0.2794          0.3843 
        5100.00          0.2945          0.3786 
        5150.00          0.2885          0.3769 
        5200.00          0.2622          0.3986 
        5250.00          0.2569          0.4138 
        5300.00          0.2440          0.4041 
        5350.00          0.1897          0.4563 
        5400.00          0.1544          0.4667 
        5450.00          0.1959          0.4529 
        5500.00          0.1931          0.4565 
        5550.00          0.1915          0.4461 
        5600.00          0.1816          0.4372 
        5650.00          0.1682          0.4327 
        5700.00          0.1756          0.4313 
        5750.00          0.2113          0.4185 
        5800.00          0.1365          0.4498 
        5850.00          0.1564          0.4355 
        5900.00          0.2051          0.4154 
        5950.00          0.1831          0.4239 
        6000.00          0.1838          0.4229 
        6050.00          0.1713          0.4289 
        6100.00          0.1777          0.4279 
        6150.00          0.2028          0.4217 
        6200.00          0.2184          0.3907 
        6250.00          0.2711          0.3838 
        6300.00          0.2646          0.3752 
        6350.00          0.2528          0.3920 
        6400.00          0.2163          0.4221 
        6450.00          0.2141          0.4496 
        6500.00          0.2111          0.4341 
        6550.00          0.2509          0.3732 
        6600.00          0.2284          0.4032 
        6650.00          0.2415          0.4081 
        6700.00          0.2829          0.3807 
        6750.00          0.3014          0.3610 
        6800.00          0.3016          0.3624 
        6850.00          0.2650          0.3916 
        6900.00          0.2382          0.4024 
        6950.00          0.2054          0.4379 
        7000.00          0.2164          0.4187 
        7050.00          0.2102          0.4245 
        7100.00          0.2020          0.4276 
        7150.00          0.1976          0.4121 
        7200.00          0.1984          0.4179 
        7250.00          0.2252          0.4124 
        7300.00          0.1922          0.4280 
        7350.00          0.1925          0.4195 
        7400.00          0.1803          0.4239 
        7450.00          0.2222          0.4001 
        7500.00          0.1774          0.4287 
        7550.00          0.2216          0.3956 
        7600.00          0.2200          0.3930 
        7650.00          0.2047          0.4101 
        7700.00          0.1980          0.4176 
        7750.00          0.1794          0.4272 
        7800.00          0.1231          0.4483 
        7850.00          0.1731          0.4252 
        7900.00          0.2047          0.4109 
        7950.00          0.1900          0.4285 
        8000.00          0.1683          0.4388 
        8050.00          0.1658          0.4349 
        8100.00          0.1644          0.4391 
        8150.00          0.1937          0.4229 
        8200.00          0.2045          0.4122 
        8250.00          0.1868          0.4155 
        8300.00          0.1841          0.4298 
        8350.00          0.1997          0.4112 
        8400.00          0.2309          0.4146 
        8450.00          0.2283          0.3877 
        8500.00          0.1995          0.4263 
        8550.00          0.1777          0.4313 
        8600.00          0.1821          0.4125 
        8650.00          0.2421          0.3778 
        8700.00          0.1685          0.4237 
        8750.00          0.1808          0.4278 
        8800.00          0.2103          0.4064 
        8850.00          0.2178          0.4124 
        8900.00          0.1963          0.4142 
        8950.00          0.1717          0.4383 
        9000.00          0.1742          0.4401 
        9050.00          0.1187          0.4588 
        9100.00          0.1500          0.4473 
        9150.00          0.1775          0.4232 
        9200.00          0.1507          0.4404 
        9250.00          0.1228          0.4643 
        9300.00          0.1191          0.4609 
        9350.00          0.1292          0.4603 
        9400.00          0.1551          0.4283 
        9450.00          0.1773          0.4329 
        9500.00          0.1766          0.4275 
        9550.00          0.2251          0.3978 
        9600.00          0.1651          0.4282 
        9650.00          0.1976          0.4070 
        9700.00          0.1748          0.4322 
        9750.00          0.1795          0.4243 
        9800.00          0.1978          0.4229 
        9850.00          0.1840          0.4411 
        9900.00          0.1506          0.4575 
        9950.00          0.2243          0.4062 
       10000.00          0.1902          0.4245 
       10050.00          0.2164          0.4062 
       10100.00          0.1681          0.4211 
       10150.00          0.1815          0.4185 
       10200.00          0.1811          0.4301 
       10250.00          0.1830          0.4290 
       10300.00          0.1865          0.4218 
       10350.00          0.1880          0.4315 
       10400.00          0.2102          0.4030 
       10450.00          0.2024          0.4145 
       10500.00          0.1973          0.4319 
       10550.00          0.2068          0.4024 
       10600.00          0.1663          0.4464 
       10650.00          0.1930          0.4126 
       10700.00          0.2215          0.4114 
       10750.00          0.1909          0.4293 
       10800.00          0.2128          0.4217 
       10850.00          0.1972          0.4211 
       10900.00          0.1466          0.4516 
       10950.00          0.1258          0.4491 
       11000.00          0.1448          0.4563 
       11050.00          0.1220          0.4527 
       11100.00          0.1140          0.4494 
       11150.00          0.0719          0.4573 
       11200.00          0.1001          0.4574 
       11250.00          0.0370          0.4546 
       11300.00          0.0598          0.4320 
       11350.00          0.1071          0.4428 
       11400.00          0.0507          0.4593 
       11450.00          0.0723          0.4266 
       11500.00          0.0648          0.4384 
       11550.00          0.1192          0.4468 
       11600.00          0.1594          0.4434 
       11650.00          0.1838          0.4303 
       11700.00          0.1969          0.4234 
       11750.00          0.1655          0.4280 
       11800.00          0.1995          0.4197 
       11850.00          0.1878          0.4194 
       11900.00          0.2363          0.3893 
       11950.00          0.2049          0.4206 
       12000.00          0.2026          0.4226 
       12050.00          0.1665          0.4335 
       12100.00          0.1410          0.4493 
       12150.00          0.1379          0.4420 
       12200.00          0.1868          0.4236 
       12250.00          0.2186          0.4005 
       12300.00          0.1754          0.4276 
       12350.00          0.1746          0.4330 
       12400.00          0.1877          0.4264 
       12450.00          0.1830          0.4259 
       12500.00          0.1574          0.4394 
       12550.00          0.1917          0.4345 
       12600.00          0.1994          0.4130 
       12650.00          0.1845          0.4231 
       12700.00          0.1691          0.4336 
       12750.00          0.1779          0.4205 
       12800.00          0.1839          0.4268 
       12850.00          0.1453          0.4450 
       12900.00          0.1333          0.4505 
       12950.00          0.1266          0.4566 
       13000.00          0.2287          0.3933 
       13050.00          0.1407          0.4465 
       13100.00          0.1589          0.4359 
       13150.00          0.1736          0.4309 
       13200.00          0.1717          0.4330 
       13250.00          0.1467          0.4496 
       13300.00          0.1458          0.4440 
       13350.00          0.1016          0.4714 
       13400.00          0.1643          0.4368 
       13450.00          0.1520          0.4525 
       13500.00          0.1538          0.4344 
       13550.00          0.1515          0.4404 
       13600.00          0.2096          0.4139 
       13650.00          0.1434          0.4500 
       13700.00          0.1451          0.4514 
       13750.00          0.2121          0.4211 
       13800.00          0.1693          0.4320 
       13850.00          0.1862          0.4251 
       13900.00          0.1637          0.4406 
       13950.00          0.2064          0.4202 
       14000.00          0.2294          0.4072 
       14050.00          0.2219          0.4337 
       14100.00          0.2200          0.4172 
       14150.00          0.2026          0.4487 
       14200.00          0.1851          0.4195 
       14250.00          0.1899          0.4452 
       14300.00          0.2156          0.4267 
       14350.00          0.2082          0.4389 
       14400.00          0.1944          0.4374 
       14450.00          0.2151          0.4317 
       14500.00          0.2288          0.3985 
       14550.00          0.2232          0.3924 
       14600.00          0.2529          0.4017 
       14650.00          0.2544          0.3884 
       14700.00          0.2242          0.4111 
       14750.00          0.1908          0.4177 
       14800.00          0.2315          0.3911 
       14850.00          0.2227          0.4018 
       14900.00          0.2223          0.4255 
       14950.00          0.1826          0.4358 
       15000.00          0.2274          0.4156 
       15050.00          0.2055          0.4232 
       15100.00          0.2051          0.4085 
       15150.00          0.1753          0.4533 
       15200.00          0.2186          0.4109 
       15250.00          0.2252          0.4196 
       15300.00          0.1957          0.4365 
       15350.00          0.2100          0.4215 
       15400.00          0.2073          0.4247 
       15450.00          0.2120          0.4303 
       15500.00          0.2237          0.4387 
       15550.00          0.1971          0.4385 
       15600.00          0.2138          0.4538 
       15650.00          0.2176          0.4187 
       15700.00          0.1901          0.4348 
       15750.00          0.2072          0.4400 
       15800.00          0.2313          0.4333 
       15850.00          0.1865          0.4393 
       15900.00          0.2411          0.4235 
       15950.00          0.1949          0.4423 
       16000.00          0.2252          0.4051 
       16050.00          0.2248          0.4333 
       16100.00          0.2006          0.4343 
       16150.00          0.2206          0.4382 
       16200.00          0.2345          0.4348 
       16250.00          0.2283          0.4339 
       16300.00          0.1659          0.4482 
       16350.00          0.2013          0.4400 
       16400.00          0.2441          0.4213 
       16450.00          0.1820          0.4431 
       16500.00          0.1999          0.4270 
       16550.00          0.2336          0.4243 
       16600.00          0.2348          0.4133 
       16650.00          0.1864          0.4354 
       16700.00          0.2078          0.4388 
       16750.00          0.1979          0.4361 
       16800.00          0.2273          0.4204 
       16850.00          0.2529          0.4349 
       16900.00          0.2287          0.4312 
       16950.00          0.2061          0.4336 
       17000.00          0.2240          0.4288 
       17050.00          0.2338          0.4237 
       17100.00          0.2079          0.4353 
       17150.00          0.1906          0.4520 
       17200.00          0.2044          0.4356 
       17250.00          0.1962          0.4349 
       17300.00          0.2404          0.4118 
       17350.00          0.2132          0.4373 
       17400.00          0.2188          0.4424 
       17450.00          0.1759          0.4660 
       17500.00          0.1880          0.4716 
       17550.00          0.1929          0.4565 
       17600.00          0.2323          0.4808 
       17650.00          0.2562          0.4461 
       17700.00          0.2501          0.4550 
       17750.00          0.2802          0.4533 
       17800.00          0.2170          0.4673 
       17850.00          0.2714          0.4692 
       17900.00          0.2014          0.4441 
       17950.00          0.2322          0.3910 
       18000.00          0.2069          0.3955 
       18050.00          0.1560          0.4453 
       18100.00          0.1763          0.4272 
       18150.00          0.1746          0.4218 
       18200.00          0.1461          0.4417 
       18250.00          0.1820          0.4281 
       18300.00          0.2002          0.4128 
       18350.00          0.1943          0.4210 
       18400.00          0.1844          0.4269 
       18450.00          0.1979          0.4114 
       18500.00          0.1493          0.4496 
       18550.00          0.1874          0.4286 
       18600.00          0.1688          0.4268 
       18650.00          0.1780          0.4280 
       18700.00          0.1650          0.4395 
       18750.00          0.1745          0.4300 
       18800.00          0.1957          0.4270 
       18850.00          0.1620          0.4426 
       18900.00          0.1923          0.4274 
       18950.00          0.2233          0.4096 
       19000.00          0.1735          0.4221 
       19050.00          0.2280          0.4061 
       19100.00          0.1813          0.4351 
       19150.00          0.1962          0.4204 
       19200.00          0.2087          0.4150 
       19250.00          0.1870          0.4246 
       19300.00          0.2083          0.4147 
       19350.00          0.1731          0.4276 
       19400.00          0.1510          0.4441 
       19450.00          0.1216          0.4588 
